Recreation Results
Rank,Program Name,Team Name,Raw Score,Deductions,Performance Score,Event Score
1,Howell Rebels,Super Surge,41.3,0.1,89.6826,89.6826
L1 Performance Recreation - 6 and Younger (AFF)
1,West Milford Competitive Cheer,BOMBSHELLS,39.7,0.3,86.0043,86.0043
2,Cheer Force Athletics,Xc1usive,38,0.1,82.5087,82.5087
3,VOGT Devils,Firecrackers,37.9667,0.15,82.3862,82.3862
L1 Performance Recreation - 6 and Younger (NON) - Small
1,Tri-Town Competitive Cheerleading,Whirlwinds,42.0333,0,91.3768,91.3768
2,Titan Cheer Alliance,The Incredibles,38.6667,0,84.058,84.058
L1 Performance Recreation - 6 and Younger (NON) - Large
1,Deptford Elite,Deptford Elite Iris,41.4333,0,90.0725,90.0725
L1 Performance Recreation - 8 and Younger (AFF)
1,Interboro Hornets Cheerleading,Honey Bees,42.7,0,92.8261,92.8261
2,Upper Moreland Cheerleading Association,Havoc,40.8,0.2,88.4957,88.4957
3,VOGT Devils,Red Hots,39.7667,1.1,85.3493,85.3493
L1 Performance Recreation - 8 and Younger (NON) - Small
1,Titan Cheer Alliance,Mini elite dazzlers,39.6667,0,86.2319,86.2319
2,Cats Cheerleading,Sparkle Kitties,39.1667,0,85.1449,85.1449
3,Garden State Storm,Flurries,37.5333,1.5,80.0942,80.0942
L1 Performance Recreation - 8 and Younger (NON) - Large
1,Cape St Claire Rec Council,Pee Wee Prowl,43.2667,0,94.058,94.058
2,VOGT Devils,Fury,42.2333,0,91.8116,91.8116
3,Cats Cheerleading,Purrfect Kitties,42.1333,0.15,91.4442,91.4442
4,Garden State Storm,Reign,42.1333,0.25,91.3442,91.3442
5,Cheer Force Athletics,Legacy,41,0,89.1304,89.1304
6,West Milford Competitive Cheer,INFERNO,40.7333,0.2,88.3507,88.3507
7,Cheer Envy,Youth Jaguars,37.5,0,81.5217,81.5217
L1 Performance Recreation - 10 and Younger (NON) - Small
1,Titan Cheer Alliance,Lady Marvels,43.3,0,94.1304,94.1304
2,PA Legacy Cheerleading,Rockstars,42.8667,0,93.1884,93.1884
3,Cheer Envy,Junior Jaguars,40.1667,0.15,87.1688,87.1688
L1 Performance Recreation - 12 and Younger (NON)
1,Tri-Town Competitive Cheerleading,Cyclones,42.7667,0.15,92.821,92.821
L1 Performance Recreation - 14 and Younger (NON)
1,Northampton Athletic Association,Northampton Tiny Diamonds,39.7,0.1,89.1135,89.1135
L1 Traditional Recreation - 6 and Younger (AFF)
1,Northampton Athletic Association,Northampton Orange Elite,40.1333,0,90.1873,90.1873
L1 Traditional Recreation - 8 and Younger (AFF)
1,Northampton Athletic Association,Northampton Black Diamonds,40.8667,0.05,91.7852,91.7852
L1 Traditional Recreation - 10 and Younger (AFF)
1,Upper Moreland Cheerleading Association,Mayhem,44.7333,0,89.4667,89.4667
2,Cape St Claire Rec Council,Youth Fierce,42.3333,0,84.6667,84.6667
3,VOGT Devils,Flames,42.1333,0.1,84.1667,84.1667
L2.1 Performance Recreation - 12 and Younger (NON) - Small
1,Cats Cheerleading,Crystal Cats,44.3667,0,88.7333,88.7333
2,Interboro Hornets Cheerleading,Venom,42.7,0.9,84.5,84.5
L2.1 Performance Recreation - 12 and Younger (NON) - Large
1,Parsippany Little Vikings Cheer,Parsippany Little Vikings,44.2,0.55,87.85,87.85
L2.1 Performance Recreation - 8-18 Years Old (AFF)
1,Cheer Force Athletics,Prestige,45.2333,0,90.4667,90.4667
2,Warrior Outlaws,Reckless,41.9,0.95,82.85,82.85
L2.1 Performance Recreation - 8-18 Years Old (NON)
1,Howell Rebels,FORCE,42.5,0,85,85
L2 Performance Recreation - 10 and Younger (AFF)
1,Shore Force Sharks,Shore Force Sharks,44.7,0.3,89.1,89.1
2,Cats Cheerleading,Reign Cats,43.3667,0.9,85.8333,85.8333
L2 Performance Recreation - 12 and Younger (NON)
1,Deptford Elite,Deptford Elite Athena,41.8667,1.1,82.6333,82.6333
L2 Performance Recreation - 14 and Younger (AFF)
1,Interboro Hornets Cheerleading,Junior Hive,47.0333,0,94.0667,94.0667
2,Titan Cheer Alliance,Renegades,44.9,0.1,89.7,89.7
3,Upper Moreland Cheerleading Association,Riot,44.4,0,88.8,88.8
4,Garden State Storm,Thunder,43.1,0.45,85.75,85.75
L2 Performance Recreation - 14 and Younger (NON) - Large
1,Northampton Athletic Association,Northampton Orange Krush,37.8333,1,84.0187,84.0187
L2 Traditional Recreation - 14 and Younger (AFF) - Small
